"Question","Answer"
"What is the 'Too much milk' problem in synchronization?","Alice and Bob want to keep their fridge stocked with at most one milk jug. If the fridge is empty, they both go to buy milk【145†source】."
"What happens in the 'Too much milk' problem without synchronization?","Both Alice and Bob might end up buying milk, leading to more than one jug in the fridge【145†source】."
"What is mutual exclusion in the context of synchronization?","Ensuring only one thread is doing a certain thing at a time to prevent race conditions【145†source】."
"What is a critical section in mutual exclusion?","A section of code that uses mutual exclusion to synchronize its execution, allowing only one thread to execute at a time【145†source】."
"What are the requirements for a critical section?","Mutual exclusion, progress, bounded waiting (no starvation), and minimal overhead for entering and exiting the critical section【145†source】【146†source】."
"What is the safety property in synchronization?","A requirement where nothing bad happens, such as ensuring mutual exclusion【146†source】."
"What is the liveness property in synchronization?","A requirement ensuring something good happens, such as progress and bounded waiting【146†source】."
"How is performance measured in synchronization?","Performance is assessed by the overhead of entering and exiting the critical section relative to the work done within it【146†source】."
"What is Solution #1 for the 'Too much milk' problem?","Using a note system where leaving a note indicates intention to buy milk, assuming operations to check, leave, and remove the note are atomic【147†source】."
"What is Solution #2 for the 'Too much milk' problem?","Using two labeled notes to indicate intention to buy milk, changing the order of 'leave note' and 'check note'【148†source】."
"Does Solution #2 for 'Too much milk' ensure liveness?","No, there is a scenario where neither Alice nor Bob buys milk, failing to ensure liveness【149†source】."
"What is Solution #3 for the 'Too much milk' problem?","Monitoring notes and deciding who will buy milk when both leave notes at the same time【150†source】."
"What are the pros and cons of Solution #3 for 'Too much milk'?","Pros: It works even with non-atomic operations. Cons: Complicated, asymmetric, doesn't scale well, and involves busy-waiting【151†source】."
"What is higher-level synchronization in OS?","An abstraction to make synchronization easier for programmers, involving operations like lock, condition variable, and semaphore【152†source】."
"What is a lock (mutex) in synchronization?","A mechanism that prevents another thread from entering a critical section until the lock is free and acquired【153†source】."
"How are locks used in critical sections?","A thread acquires a lock before entering and releases it after exiting the critical section【154†source】."
"How do locks simplify the 'Too much milk' problem?","By using a lock, only one person can check and buy milk at a time, avoiding duplication【155†source】."
"Why is efficiency important in synchronization?","Efficiency is important to minimize the time a lock is held, allowing other operations to proceed【156†source】."
"What does 'Efficiency – remember Solution #1' refer to in synchronization?","It refers to minimizing lock time by unlocking after necessary checks and relocking before modifying shared data【157†source】."
"What are the key aspects of synchronization in operating systems?","Synchronization involves mutual exclusion, critical sections, and efficient use of locks to manage shared resources."
"What is the goal of mutual exclusion in the context of threads?","To ensure that no two threads can access a shared resource simultaneously to avoid race conditions."
"Why is it important to control the interleaving of threads?","To avoid race conditions and ensure data consistency when multiple threads access shared resources."
"What does 'larger atomic blocks' refer to in synchronization?","Creating bigger sections of code that are executed atomically to maintain consistency in concurrent environments."
"Why are safety and liveness properties important in concurrent algorithms?","Safety ensures system stability by preventing harmful states, while liveness ensures system responsiveness and progress."
"What is the significance of atomic operations in 'Solution #1' for the 'Too much milk' problem?","Atomic operations in 'Solution #1' ensure that checking, leaving, and removing the note are indivisible, preventing race conditions."
"How does labeling notes help in 'Solution #2' for the 'Too much milk' problem?","Labeling notes helps distinguish each person's intention to buy milk, reducing the chance of both buying milk simultaneously."
"Why does 'Solution #2' potentially fail to ensure liveness?","Because it can lead to a deadlock where neither Alice nor Bob buys milk, resulting in the fridge remaining empty."
"How does 'Solution #3' address the shortcomings of previous solutions?","By using a monitoring mechanism to decide who buys milk when both participants have left notes, aiming to avoid unnecessary purchases."
