"Question","Answer"
"To study (v.tr)","پڑھائی کرنا (parhai karna)"
"پڑھائی کرنا (parhai karna)","To study (v.tr)"
"To teach (v.t)","پڑھانا (parhana)"
"پڑھانا (parhana)","To teach (v.t)"
"Profession (m.)","پیشہ (pesha)"
"پیشہ (pesha)","Profession (m.)"
"To live, reside (v.i)","رہنا (rehna)"
"رہنا (rehna)","To live, reside (v.i)"
"Governmental","سرکاری (sarkari)"
"سرکاری (sarkari)","Governmental"
"Political science","سیاسیات (siyasiyat)"
"سیاسیات (siyasiyat)","Political science"
"Residence (m.)","قیام (qayam)"
"قیام (qayam)","Residence (m.)"
"To work, to do a task (v.t)","کام کرنا (kaam karna)"
"کام کرنا (kaam karna)","To work, to do a task (v.t)"
"Subject essay (m.)","مضمون (mazmoon)"
"مضمون (mazmoon)","Subject essay (m.)"
"Employee","ملازم (mulazim)"
"ملازم (mulazim)","Employee"
"Servant, employee","نوکر (naukar)"
"نوکر (naukar)","Servant, employee"
"Job (f.)","نوکری (naukri)"
"نوکری (naukri)","Job (f.)"
"To take off (v.t.)","اتارنا (utarna)"
"اتارنا (utarna)","To take off (v.t.)"
"To change (v.t./v.i.)","بدلنا (badalna)"
"بدلنا (badalna)","To change (v.t./v.i.)"
"To make (v.t.)","بنانا (banana)"
"بنانا (banana)","To make (v.t.)"
"To cook (v.t.)","پکانا (pakana)"
"پکانا (pakana)","To cook (v.t.)"
"To arrive (v.i)","پہنچنا (pahunchana)"
"پہنچنا (pahunchana)","To arrive (v.i)"
"To put on (v.t.)","پہننا (pehnna)"
"پہننا (pehnna)","To put on (v.t.)"
"To stroll (v.i)","ٹہلنا (tehalna)"
"ٹہلنا (tehalna)","To stroll (v.i)"
"To move, to go, to walk (v.i)","چلنا (chalna)"
"چلنا (chalna)","To move, to go, to walk (v.i)"
"To run (v.i)","دوڑنا (dorna)"
"دوڑنا (dorna)","To run (v.i)"
"To sleep (v.i)","سونا (sona)"
"سونا (sona)","To sleep (v.i)"
"To eat (v.t.)","کھانا (khana)"
"کھانا (khana)","To eat (v.t.)"
"To apply, to attach to (v.t.)","لگانا (lagana)"
"لگانا (lagana)","To apply, to attach to (v.t.)"
"To have breakfast (v.t.)","ناشتہ کرنا (nashta karna)"
"ناشتہ کرنا (nashta karna)","To have breakfast (v.t.)"
"To perform/offer prayer (v.t.)","نماز پڑھنا (namaz parhna)"
"نماز پڑھنا (namaz parhna)","To perform/offer prayer (v.t.)"
"To bathe (v.i)","نہانا (nahana)"
"نہانا (nahana)","To bathe (v.i)"
"To exercise (v.t.)","ورزش کرنا (warzish karna)"
"ورزش کرنا (warzish karna)","To exercise (v.t.)"
"Often","اکثر (aksar)"
"اکثر (aksar)","Often"
"Time (i.e., one time, two times) (f)","بار (baar)"
"بار (baar)","Time (i.e., one time, two times) (f)"
"First, previously","پہلے (pehle)"
"پہلے (pehle)","First, previously"
"Then, again","پھر (phir)"
"پھر (phir)","Then, again"
"Up till, until (ppn.)","تک (tak)"
"تک (tak)","Up till, until (ppn.)"
"So, then (not lest formal pronoun تُو)","تو (to)"
"تو (to)","So, then (not lest formal pronoun تُو)"
"Early, quickly","جلدی (jaldi)"
"جلدی (jaldi)","Early, quickly"
"Day (m)","دن (din)"
"دن (din)","Day (m)"
"Noon, afternoon (f)","دوپہر (dopehar)"
"دوپہر (dopehar)","Noon, afternoon (f)"
"A while, length of time, delay","دیر (deer)"
"دیر (deer)","A while, length of time, delay"
"Night (f)","رات (raat)"
"رات (raat)","Night (f)"
"Daily","روز / روزانہ (roz / rozana)"
"روز / روزانہ (roz / rozana)","Daily"
"Evening (f)","شام (shaam)"
"شام (shaam)","Evening (f)"
"Morning (f)","صبح (subah)"
"صبح (subah)","Morning (f)"
"Usually, generally","عام طور پر (aam tor par)"
"عام طور پر (aam tor par)","Usually, generally"
"Immediately","فوراً (foran)"
"فوراً (foran)","Immediately"
"Near, about","قریب (qareeb)"
"قریب (qareeb)","Near, about"
"Once in a while","کبھی کبھار (kabhi kabhar)"
"کبھی کبھار (kabhi kabhar)","Once in a while"
"Sometimes","کبھی کبھی (kabhi kabhi)"
"کبھی کبھی (kabhi kabhi)","Sometimes"
"After","کے بعد (ke baad)"
"کے بعد (ke baad)","After"
"Time (m)","وقت (waqt)"
"وقت (waqt)","Time (m)"
"Each, every","ہر (har)"
"ہر (har)","Each, every"
"Always","ہمیشہ (hamesha)"
"ہمیشہ (hamesha)","Always"
"On foot","پیدل (paidal)"
"پیدل (paidal)","On foot"
"Tea (f)","چائے (chai)"
"چائے (chai)","Tea (f)"
"Especially, particularly","خاص طور پر (khaas tor par)"
"خاص طور پر (khaas tor par)","Especially, particularly"
"Mostly, most","زیادہ تر (ziada tar)"
"زیادہ تر (ziada tar)","Mostly, most"
"Game, sport (m)","کھیل (khel)"
"کھیل (khel)","Game, sport (m)"
"Routine (m)","معمول (mamool)"
"معمول (mamool)","Routine (m)"
"Mile (m)","میل (meel)"
"میل (meel)","Mile (m)"
"Islamic prayer","نماز (namaz)"
"نماز (namaz)","Islamic prayer"
"Back, return","واپس (wapas)"
"واپس (wapas)","Back, return"
