"Question","Answer"
"To sound, resound, be struck","bajna (بجنا)"
"At……. o’clock","... bajay (۔۔۔۔۔۔ بجے)"
"It’s ……. o’clock (with times having one as their reference)","... baja hai (۔۔۔۔۔۔۔ بجا ہے)"
"It’s ……. o’clock","... bajay hain (۔۔۔۔۔۔۔ بجے ہیں)"
"Quarter to; number minus a quarter","ponay (پونے)"
"Approximately","taqreeban (تقریباً)"
"Half past; number plus one half","saarhay (ساڑھے)"
"Quarter past; number plus a quarter","sawa (سوا)"
"Half past two; two and a half","dhai (ڈھائی)"
"Half past one; one and a half","dairh (ڈیڑھ)"
"Conversation","baat cheet (بات چیت)"
"Right","theek (ٹھیک)"
"To end","khatam hona (ختم ہونا)"
"Again","dobara (دوبارہ)"
"To wash","dhona (دھونا)"
"To put/ to place /to keep","rakhna (رکھنا)"
"Before","se pehle (سے پہلے)"
"To begin / to start","shuru hona (شروع ہونا)"
"Instead of","ke bajaye (کے بجائے)"
"After","ke baad (کے بعد)"
"Apart from","ke ilawa (کے علاوہ)"
"To open","kholna (کھولنا)"
"Monday","Peer (پیر)"
"Tuesday","Mangal (منگل)"
"Wednesday","Budh (بدھ)"
"Thursday","Jumeraat (جمعرات)"
"Friday","Jumma (جمعہ)"
"Saturday","Hafta (ہفتہ)"
"Sunday","Itwaar (اتوار)"
"Like this/ of this type","aisa (ایسا)"
"ill, sick","bimaar (بیمار)"
"Pocket","jeb (جیب)"
"Tooth, teeth","daant (دانت)"
"Office","daftar (دفتر)"
"Year","saal (سال)"
"True","sach (سچ)"
"To clean","saaf karna (صاف کرنا)"
"That","keh (کہ)"
"To play","khelna (کھیلنا)"
"Lane, Alley","gali (گلی)"
"Expert","maahir (ماہر)"
"Month","maheena (مہینہ)"
"Like that/ of that type","waisa (ویسا)"
"Week","hafta (ہفتہ)"
"Question","Answer"
"بجنا","To sound, resound, be struck"
"۔۔۔۔۔۔ بجے","At……. o’clock"
"۔۔۔۔۔۔۔ بجا ہے","It’s ……. o’clock (with times having one as their reference)"
"۔۔۔۔۔۔۔ بجے ہیں","It’s ……. o’clock"
"پونے","Quarter to; number minus a quarter"
"تقریباً","Approximately"
"ساڑھے","Half past; number plus one half"
"سوا","Quarter past; number plus a quarter"
"ڈھائی","Half past two; two and a half"
"ڈیڑھ","Half past one; one and a half"
"بات چیت","Conversation"
"ٹھیک","Right"
"ختم ہونا","To end"
"دوبارہ","Again"
"دھونا","To wash"
"رکھنا","To put/ to place /to keep"
"سے پہلے","Before"
"شروع ہونا","To begin / to start"
"کے بجائے","Instead of"
"کے بعد","After"
"کے علاوہ","Apart from"
"کھولنا","To open"
"پیر","Monday"
"منگل","Tuesday"
"بدھ","Wednesday"
"جمعرات","Thursday"
"جمعہ","Friday"
"ہفتہ","Saturday"
"اتوار","Sunday"
"ایسا","Like this/ of this type"
"بیمار","ill, sick"
"جیب","Pocket"
"دانت","Tooth, teeth"
"دفتر","Office"
"سال","Year"
"سچ","True"
"صاف کرنا","To clean"
"کہ","That"
"کھیلنا","To play"
"گلی","Lane, Alley"
"ماہر","Expert"
"مہینہ","Month"
"ویسا","Like that/ of that type"
"ہفتہ","Week"
