"Question", "Answer"
"Conversation","بات چیت, baat cheet"
"Right","ٹھیک, theek"
"To end","ختم ہونا, khatam hona"
"Again","دوبارہ, dobara"
"To wash","دھونا, dhona"
"To put/ to place /to keep","رکھنا, rakhna"
"Before","سے پہلے, se pehle"
"To begin / to start","شروع ہونا, shuru hona"
"Instead of","کے بجائے, ke bajaye"
"After","کے بعد, ke baad"
"Apart from","کے علاوہ, ke ilawa"
"To open","کھولنا, kholna"
"Monday","پیر, peer"
"Tuesday","منگل, mangal"
"Wednesday","بدھ, budh"
"Thursday","جمعرات, jumeraat"
"Friday","جمعہ, jumma"
"Saturday","ہفتہ, hafta"
"Sunday","اتوار, itwaar"
"بات چیت, baat cheet","Conversation"
"ٹھیک, theek","Right"
"ختم ہونا, khatam hona","To end"
"دوبارہ, dobara","Again"
"دھونا, dhona","To wash"
"رکھنا, rakhna","To put/ to place /to keep"
"سے پہلے, se pehle","Before"
"شروع ہونا, shuru hona","To begin / to start"
"کے بجائے, ke bajaye","Instead of"
"کے بعد, ke baad","After"
"کے علاوہ, ke ilawa","Apart from"
"کھولنا, kholna","To open"
"پیر, peer","Monday"
"منگل, mangal","Tuesday"
"بدھ, budh","Wednesday"
"جمعرات, jumeraat","Thursday"
"جمعہ, jumma","Friday"
"ہفتہ, hafta","Saturday"
"اتوار, itwaar","Sunday"
"Like this/ of this type","ایسا (aisa)"
"Ill, sick","بیمار (bemaar)"
"Pocket","جیب (jaib)"
"Tooth, teeth","دانت (daant)"
"Office","دفتر (daftar)"
"Year","سال (saal)"
"True","سچ (sach)"
"To clean","صاف کرنا (saaf karna)"
"That","کہ (keh)"
"To play","کھیلنا (khelna)"
"Lane, Alley","گلی (gali)"
"Expert","ماہر (maahir)"
"Month","مہینہ (maheena)"
"Like that/ of that type","ویسا (waisa)"
"Week","ہفتہ (hafta)"
"ایسا (aisa)","Like this/ of this type"
"بیمار (bemaar)","Ill, sick"
"جیب (jaib)","Pocket"
"دانت (daant)","Tooth, teeth"
"دفتر (daftar)","Office"
"سال (saal)","Year"
"سچ (sach)","True"
"صاف کرنا (saaf karna)","To clean"
"کہ (keh)","That"
"کھیلنا (khelna)","To play"
"گلی (gali)","Lane, Alley"
"ماہر (maahir)","Expert"
"مہینہ (maheena)","Month"
"ویسا (waisa)","Like that/ of that type"
"ہفتہ (hafta)","Week"
